iter	Passed	Remaining
0	162	162527
1	172	85945
2	180	59932
3	187	46725
4	194	38633
5	201	33355
6	208	29545
7	214	26600
8	221	24388
9	227	22481
10	233	21022
11	239	19707
12	244	18590
13	251	17678
14	256	16850
15	262	16120
16	268	15522
17	273	14938
18	279	14442
19	286	14025
20	291	13599
21	297	13233
22	303	12891
23	309	12573
24	315	12305
25	321	12033
26	326	11770
27	332	11544
28	338	11329
29	344	11125
30	350	10957
31	356	10773
32	362	10616
33	368	10479
34	374	10324
35	380	10197
36	386	10061
37	392	9945
38	399	9849
39	405	9723
40	411	9633
41	417	9531
42	423	9424
43	429	9340
44	435	9240
45	441	9148
46	447	9070
47	452	8979
48	458	8901
49	464	8822
50	470	8753
51	476	8683
52	481	8605
53	486	8528
54	492	8462
55	497	8393
56	503	8325
57	510	8286
58	515	8224
59	520	8160
60	527	8115
61	532	8056
62	538	8002
63	544	7959
64	549	7904
65	555	7860
66	561	7812
67	566	7762
68	571	7716
69	577	7672
70	582	7625
71	588	7585
72	594	7545
73	599	7503
74	605	7471
75	611	7429
76	616	7390
77	622	7354
78	627	7318
79	633	7282
80	639	7250
81	644	7215
82	649	7178
83	655	7148
84	661	7115
85	666	7081
86	672	7053
87	677	7021
88	682	6990
89	688	6962
90	694	6932
91	699	6902
92	705	6878
93	710	6851
94	716	6822
95	722	6801
96	727	6773
97	733	6746
98	739	6726
99	744	6700
100	750	6675
101	755	6652
102	761	6629
103	766	6603
104	772	6583
105	777	6559
106	783	6541
107	789	6522
108	795	6500
109	802	6489
110	807	6470
111	813	6449
112	819	6432
113	824	6411
114	830	6391
115	836	6373
116	841	6353
117	847	6335
118	852	6314
119	858	6294
120	863	6274
121	869	6257
122	875	6239
123	880	6220
124	886	6204
125	891	6187
126	897	6168
127	903	6153
128	908	6136
129	914	6118
130	920	6104
131	925	6087
132	931	6070
133	936	6055
134	942	6037
135	947	6021
136	954	6009
137	960	5997
138	966	5984
139	972	5971
140	977	5954
141	983	5942
142	988	5926
143	993	5908
144	999	5894
145	1005	5879
146	1010	5865
147	1017	5855
148	1022	5841
149	1028	5829
150	1035	5821
151	1042	5813
152	1049	5808
153	1055	5800
154	1062	5794
155	1069	5787
156	1076	5779
